#Software	Original_ID_Pattern	Target_Class	Target_Superfamily	Notes
# ==============================================================================
# RepLibBuilder TE Mapping Rules
# ==============================================================================
# 1. SOFTWARE-SPECIFIC RULES (Highest Priority)
# ==============================================================================
# EDTA: DT* encoding -> Dfam canonical superfamilies
Repbase	(?i)^Kiri.*	LINE	Unknown	Repbase_Kiri_to_bare_LINE
# v5.3.3: Disambiguate Dada-LINE (LINE/Unknown) vs Dada (DNA/Dada)
Repbase	(?i)^Dada-LINE.*	LINE	Unknown	Repbase_Dada_LINE_to_bare_LINE
Repbase	(?i)^Dada.*	DNA	Dada	Repbase_Dada_to_DNA_Dada
Repbase	(?i)^Daphne.*	LINE	Unknown	Repbase_Daphne_to_bare_LINE
Repbase	(?i)^RandI.*	LINE	Unknown	Repbase_RandI_to_bare_LINE
Repbase	(?i)^Ambal.*	LINE	CRE-Ambal	Repbase_Ambal_to_CRE_Ambal
Repbase	(?i)^Nematis.*	PLE	Nematis	Repbase_Nematis_to_PLE
Repbase	(?i)^Lodin.*	LINE	Unknown	Repbase_Lodin_to_bare_LINE
Repbase	(?i)^Hydra.*	PLE	Hydra	Repbase_Hydra_to_PLE
Repbase	(?i)^retroposon.*	Retroposon	Unknown	Repbase_retroposon_to_Retroposon
Repbase	(?i)^Non-LTR Retrotransposon.*	LINE	Unknown	Repbase_NonLTR_generic
Repbase	(?i)^Non-LTR retrotransposon.*	LINE	Unknown	Repbase_NonLTR_generic_lower
Repbase	(?i)^LINE$	LINE	Unknown	Repbase_LINE_bare

# ----- Penelope-like Elements (PLE) - top-level Class -----
Repbase	(?i)^Penelope/Poseidon.*	PLE	Poseidon	Repbase_Penelope_Poseidon
Repbase	(?i)^Penelope.*	PLE	Unknown	Repbase_Penelope_to_PLE_bare
Repbase	(?i)^Poseidon.*	PLE	Poseidon	Repbase_Poseidon_to_PLE
Repbase	(?i)^Athena.*	PLE	Athena	Repbase_Athena_to_PLE

# ----- SINE -----
# Canonical SINE/<subtype> preserved; only translate Repbase code names.
Repbase	(?i)^SINE2/tRNA.*	SINE	tRNA	Repbase_SINE2_tRNA
Repbase	(?i)^SINE1/7SL.*	SINE	7SL	Repbase_SINE1_7SL
Repbase	(?i)^SINE3/5S.*	SINE	5S	Repbase_SINE3_5S
# RM-style SINE/<subtype> (already-canonical inputs): hard-coded, exact-anchored
# so they are NOT swallowed by the generic ^SINE.* catch-all below. Targets match
# Global + the SINE1/2/3 rules above (same TE -> same mapping across sources).
Repbase	(?i)^SINE/tRNA$	SINE	tRNA	Repbase_SINE_tRNA_RMstyle
Repbase	(?i)^SINE/7SL$	SINE	7SL	Repbase_SINE_7SL_RMstyle
Repbase	(?i)^SINE/5S$	SINE	5S	Repbase_SINE_5S_RMstyle
Repbase	(?i)^SINEU/snRNA.*	snRNA	Unknown	Repbase_SINEU_to_snRNA
Repbase	(?i)^SINE_HE1.*	SINE	Unknown	Repbase_SINE_HE1
Repbase	(?i)^SINE.*	SINE	Unknown	Repbase_SINE_generic
Repbase	(?i)^short interspersed element.*	SINE	Unknown	Repbase_SINE_long_form

# ----- DNA Transposons (Class II) -----
Repbase	(?i)^hAT.*	DNA	hAT	Repbase_hAT_main
Repbase	(?i)^HAT[ _-].*	DNA	hAT	Repbase_HAT_variant
Repbase	(?i)^Charlie.*	DNA	hAT-Charlie	Repbase_Charlie_to_hAT_Charlie
Repbase	(?i)^Mariner/Tc1.*	DNA	TcMar-Mariner	Repbase_Mariner_Tc1_to_TcMar_Mariner
Repbase	(?i)^mariner/Tc1.*	DNA	TcMar-Mariner	Repbase_mariner_Tc1_lower
